 t        y1(t)        y2(t)
46.6     1.913733     5.332973
46.7     1.850224     5.224087
46.8     1.797126     5.098359
46.9     1.759028     4.965527
47.0     1.739265     4.835995
47.1     1.739448     4.719751
47.2     1.759297     4.625406
47.3     1.796787     4.559504
47.4     1.848498     4.526130
47.5     1.910075     4.526800
47.6     1.976704     4.560569
47.7     2.043538     4.624306
47.8     2.106049     4.713072
47.9     2.160285     4.820551
48.0     2.203034     4.939481
48.1     2.231899     5.062083
48.2     2.245337     5.180455
48.3     2.242649     5.286947
48.4     2.223980     5.374532
48.5     2.190306     5.437167
48.6     2.143444     5.470176
48.7     2.086059     5.470625
48.8     2.021655     5.437694
48.9     1.954505     5.372972
49.0     1.889469     5.280606
49.1     1.831656     5.167189
49.2     1.785910     5.041311
49.3     1.756202     4.912766
49.4     1.745083     4.791556
49.5     1.753351     4.686880
49.6     1.780015     4.606308
49.7     1.822523     4.555230
49.8     1.877153     4.536589
49.9     1.939460     4.550862
50.0     2.004725     4.596233
50.1     2.068336     4.668900
50.2     2.126102     4.763467
50.3     2.174454     4.873363
50.4     2.210580     4.991269
50.5     2.232482     5.109516
50.6     2.238995     5.220472
50.7     2.229780     5.316901
50.8     2.205321     5.392331
50.9     2.166924     5.441412
51.0     2.116718     5.460287
51.1     2.057660     5.446957
51.2     1.993494     5.401613
51.3     1.928643     5.326863
51.4     1.867965     5.227773
51.5     1.816351     5.111615
51.6     1.778181     4.987294
51.7     1.756760     4.864482
51.8     1.753861     4.752637
51.9     1.769529     4.660092
52.0     1.802152     4.593360
52.1     1.848753     4.556710
52.2     1.905395     4.552015
52.3     1.967617     4.578802
52.4     2.030844     4.634480
52.5     2.090734     4.714673
52.6     2.143434     4.813614
52.7     2.185761     4.924559
52.8     2.215290     5.040192
52.9     2.230405     5.153015
53.0     2.230301     5.255710
53.1     2.214987     5.341504
53.2     2.185277     5.404519
53.3     2.142790     5.440129
53.4     2.089956     5.445325
53.5     2.029997     5.419053
53.6     1.966858     5.362497
53.7     1.905050     5.279222
53.8     1.849343     5.175099
53.9     1.804320     5.057925
54.0     1.773831     4.936740
54.1     1.760481     4.820933
54.2     1.765296     4.719306
54.3     1.787634     4.639271
54.4     1.825357     4.586284
54.5     1.875155     4.563545
54.6     1.932956     4.571925
54.7     1.994346     4.610092
54.8     2.054937     4.674775
54.9     2.110676     4.761113
55.0     2.158060     4.863053
55.1     2.194277     4.973747
55.2     2.217283     5.085945
55.3     2.225824     5.192369
55.4     2.219447     5.286069
55.5     2.198491     5.360771
55.6     2.164089     5.411230
55.7     2.118165     5.433580
55.8     2.063427     5.425679
55.9     2.003332     5.387416
56.0     1.941979     5.320933
56.1     1.883897     5.230673
56.2     1.833686     5.123188
56.3     1.795537     5.006635
56.4     1.772714     4.890024
56.5     1.767120     4.782318
56.6     1.779072     4.691574
56.7     1.807323     4.624252
56.8     1.849293     4.584773
56.9     1.901427     4.575316
57.0     1.959592     4.595829
57.1     2.019472     4.644209
57.2     2.076901     4.716596
57.3     2.128129     4.807731
57.4     2.170005     4.911347
57.5     2.200084     5.020562
57.6     2.216685     5.128249
57.7     2.218906     5.227402
57.8     2.206630     5.311479
57.9     2.180518     5.374751
58.0     2.142007     5.412641
58.1     2.093311     5.422069
58.2     2.037396     5.401773
58.3     1.977916     5.352571
58.4     1.919070     5.277514
58.5     1.865329     5.181831
58.6     1.821040     5.072611
58.7     1.789934     4.958213
58.8     1.774653     4.847460
58.9     1.776410     4.748773
59.0     1.794869     4.669398
59.1     1.828257     4.614832
59.2     1.873639     4.588488
59.3     1.927291     4.591586
59.4     1.985083     4.623231
59.5     2.042842     4.680636
59.6     2.096651     4.759436
59.7     2.143076     4.854054
59.8     2.179313     4.958085
59.9     2.203276     5.064669
60.0     2.213634     5.166860
60.1     2.209826     5.257969
