 t        y1(t)        y2(t)
37.8     1.979819     4.968302
37.9     1.982823     4.961899
38.0     1.987124     4.958629
38.1     1.992352     4.958683
38.2     1.998074     4.961986
38.3     2.003829     4.968210
38.4     2.009165     4.976808
38.5     2.013674     4.987057
38.6     2.017021     4.998124
38.7     2.018971     5.009129
38.8     2.019399     5.019213
38.9     2.018300     5.027603
39.0     2.015787     5.033674
39.1     2.012081     5.036988
39.2     2.007492     5.037333
39.3     2.002394     5.034732
39.4     1.997196     5.029440
39.5     1.992311     5.021922
39.6     1.988120     5.012813
39.7     1.984944     5.002864
39.8     1.983019     4.992878
39.9     1.982473     4.983648
40.0     1.983324     4.975889
